,,Italian,,,,German,,,
,,Gender,,Age,,Gender,,Age,
Model,Features,F1,Acc,F1,Acc,F1,Acc,F1,Acc
Dummy,majority class,39.2,64.4,15.9,46.8,44.1,78.9,17.0,51.3
M3,bio,50.9,67.7,16.6,16.4,-,-,-,-
M3,bio+pic,79.3,83.1,41.4,53.7,56.2,80.2,25.9,31.7
CV,pic,70.7,76.0,27.7,35.2,64.7,79.4,28.2,35.6
XLM,bio,81.6,72.5,33.3,52.2,-,-,-,-
XLM,bio+twt,86.8,88.1,60.2,66.4,74.3,82.0,45.8,58.0
Flan-T5,bio,62.1,70.5,16.3,16.2,-,-,-,-
Flan-T5,bio+twt,75.4,76.8,34.0,58.0,80.8,87.4,29.0,35.1
GPT3.5,bio,64.9,72.8,21.1,20.3,-,-,-,-
GPT3.5,bio+twt,77.4,78.0,31.4,32.0,48.2,72.2,31.4,41.2
XLM+M3,bio+twt+pic,90.8,91.9,60.0,67.2,todo,todo,todo,todo
XLM-large,bio+twt,93.00,90.90,61.1,67.3,,,,
XLM-large,bio+twt+extra,91.80,89.00,63.5,69.9,,,,